id,aspect,opinion
1,OPI,是正品
1,OPI,不错的
2,OPI,喜欢
2,ASP,颜色
3,OPI,挺细腻的
4,OPI,还行
5,OPI,不错
6,OPI,很细腻
6,OPI,贴合肤色
6,OPI,很好
7,OPI,特别好用
7,OPI,很喜欢
8,OPI,好评
9,OPI,还可以
10,OPI,不错
11,OPI,不错
11,OPI,没有油腻
11,OPI,很清爽
11,OPI,水润
11,OPI,不错
11,OPI,很清爽
11,OPI,水润
12,ASP,包装
12,OPI,一般
12,OPI,还行
13,OPI,一般般
14,OPI,不错
15,OPI,速度快
15,ASP,包装
15,OPI,很不爽
16,OPI,好用
17,ASP,发货
17,OPI,速度快
18,OPI,很喜欢
18,OPI,很好用
19,OPI,很好
19,OPI,不错
19,OPI,喜欢
20,OPI,自然
20,OPI,不油腻
21,OPI,挺好用
21,OPI,好评
22,OPI,很适合油
23,OPI,很不错
23,OPI,很贴肤细腻
24,OPI,不错
25,OPI,优惠
26,OPI,很好用
26,OPI,太贵了
26,OPI,有点干
27,OPI,真心不错
28,OPI,较慢
28,OPI,油腻
28,OPI,一般
29,OPI,很好用
29,OPI,很温和
30,OPI,还可以
31,OPI,不错
31,OPI,非常好
32,ASP,卸妆
32,OPI,干净
32,OPI,好评
33,OPI,好用
34,OPI,很好
34,OPI,不错
35,OPI,很多
35,OPI,有些不合适
35,OPI,有些痒
35,OPI,很不舒服
36,ASP,快递
36,OPI,很快
37,ASP,速度
37,OPI,很快
37,OPI,很划算
38,OPI,很水润
38,ASP,包装
38,OPI,不错
39,ASP,物流
39,OPI,很快
39,ASP,快递小哥服务
39,OPI,很好
39,OPI,是真的
41,OPI,很好用
41,OPI,不紧绷了
42,OPI,一般
43,OPI,挺好用的
43,ASP,酒精味重
44,ASP,到货
44,OPI,很喜欢
45,OPI,很好
46,OPI,还可以
47,OPI,非常不错
47,OPI,没有刺鼻
47,ASP,味道
47,OPI,很温和
48,OPI,还行
48,OPI,不错
49,ASP,盒子
49,OPI,没有
49,OPI,太垃圾
50,OPI,淡淡的
50,ASP,香味
50,OPI,还不错
50,OPI,不提供
50,ASP,发票
50,OPI,不方便
51,OPI,不错
52,OPI,好用
52,OPI,显白
52,OPI,不油腻
53,OPI,好不好用
53,ASP,价格
53,OPI,挺便宜
54,OPI,不错
54,ASP,快递速度
54,ASP,快递小哥
54,OPI,点赞
55,OPI,很不错
56,OPI,很喜欢
57,OPI,不怎么好用
58,OPI,不怎么好用
59,OPI,亲肤柔和
59,OPI,满意
60,OPI,辣眼睛
61,OPI,非常好
61,OPI,很滑
61,OPI,很嫩
63,OPI,不好用
65,OPI,很适合
65,OPI,不错
66,OPI,不错
67,ASP,物流
67,OPI,很快
69,ASP,物流
69,OPI,非常快
69,ASP,包装
69,OPI,不错
70,ASP,快递
70,OPI,给力
71,OPI,还可以
72,OPI,保湿
72,OPI,滋润
72,OPI,挺好的
73,ASP,包装
73,OPI,很一般
74,OPI,过敏
75,OPI,不怎么滴
76,OPI,真心不错
76,ASP,活动
76,OPI,非常划算
76,OPI,有好
76,OPI,温和
76,OPI,不刺激
77,OPI,很好用
78,OPI,好评
79,ASP,价格
79,OPI,便宜
79,ASP,性价比
79,ASP,包装
79,OPI,不错
79,OPI,还可以
80,ASP,包装
80,OPI,很好
80,ASP,快递
81,OPI,还不错
82,OPI,很好用的
83,OPI,不错
83,ASP,物流
83,OPI,很快
84,OPI,还行
85,OPI,还不错
86,OPI,设计
86,OPI,很喜欢
87,OPI,很好用
87,ASP,修复
87,OPI,光光滑的
87,OPI,超喜欢
88,ASP,速度
88,OPI,很快
88,OPI,水润润
88,OPI,好评
89,OPI,很温和
89,OPI,很清爽
89,OPI,不紧绷
89,OPI,很划算
90,OPI,非常好用
91,OPI,不错
92,OPI,挺好的
92,OPI,不错
93,OPI,不是很喜欢
93,ASP,味道
94,OPI,很好用
94,ASP,味道
94,OPI,特别好闻
94,OPI,很细腻
95,ASP,价格
95,OPI,优惠
95,OPI,满意
96,OPI,挺好的
97,OPI,特别滑
97,ASP,精华液
97,OPI,挺多
97,OPI,好评
98,ASP,包装
98,OPI,精美
98,ASP,价格
98,OPI,实惠
99,OPI,很不错
99,OPI,非常喜欢
99,ASP,赠品
99,ASP,快递
99,OPI,给力的
100,ASP,补水效果
100,OPI,较好
101,ASP,补水效果
101,OPI,特别好
101,OPI,特别水润
102,ASP,性价比
102,OPI,还可以
103,ASP,味道
103,OPI,淡淡的
103,OPI,不油腻
103,OPI,新的旧
103,ASP,包装
104,OPI,很喜欢
104,OPI,水水的
105,OPI,可以
105,OPI,便宜
105,OPI,实惠
106,OPI,还可以
107,ASP,活动
107,OPI,超级好用
108,OPI,很不错
108,ASP,隔离
109,OPI,不错
110,OPI,很好用
111,ASP,味道
112,OPI,补水
112,OPI,还不错
112,ASP,性价比
112,OPI,很高
113,OPI,是正品
113,ASP,香味
113,OPI,浓郁
113,ASP,遮瑕效果
113,OPI,非常好
114,ASP,保湿效果
114,OPI,不错
114,OPI,挺好用的
115,OPI,非常好用
116,OPI,很好用
117,OPI,值得信赖
118,ASP,无流
118,OPI,很快
118,OPI,挺好的
119,ASP,价格
119,OPI,合适
119,OPI,不贵
120,OPI,是正品
120,ASP,性价比
120,OPI,最高
120,OPI,很好用
120,ASP,物流
120,OPI,很快
121,OPI,挺好的
121,OPI,不错
122,OPI,挺好的
123,ASP,味道
123,OPI,真的不好闻
123,OPI,很次
123,OPI,滑石粉
124,OPI,可以
125,OPI,很好用
126,OPI,好用
126,OPI,好用
